tree_id,accession_number,common_name,scientific_name,additional_taxonomy,dbh,quantity,latitude,longitude,source,community_tag,memorial,age_class,condition_class,date_planted,date_inventoried,tree_asset_value
1026,926-2022 U,Elm-Siberian,Ulmus pumila,,15,,41.83751385,-87.6264955,Unknown,,,Semi- mature,Fair,,,3461.85
1027,927-2022 U,Ash-Green,Fraxinus pennsylvanica,,22,,41.83740102,-87.62648567,Unknown,,,Semi- mature,Fair,,,7446.82
1028,928-2022 U,Ash-Green,Fraxinus pennsylvanica,,16,,41.83718478,-87.62648988,Unknown,,,Semi- mature,Poor,,,2363.29
1029,929-2022 U,Ash-Green,Fraxinus pennsylvanica,,18,,41.83708442,-87.62645668,Unknown,,,Semi- mature,Fair,,,4985.06
1030,930-2022 U,Ash-Green,Fraxinus pennsylvanica,,15,,41.83696402,-87.62647417,Unknown,,,Semi- mature,Fair,,,3461.85
1031,931-2022 U,Ash-Green,Fraxinus pennsylvanica,,17,,41.8368582,-87.62646327,Unknown,,,Semi- mature,Fair,,,4446.55
1032,932-2022 U,Ash-Green,Fraxinus pennsylvanica,,21,,41.83674542,-87.6264608,Unknown,,,Semi- mature,Good,,,9499.32
1033,933-2022 U,Ash-Green,Fraxinus pennsylvanica,,16,,41.83665578,-87.62645777,Unknown,,,Semi- mature,Fair,,,3938.82
1034,934-2022 U,Ash-Green,Fraxinus pennsylvanica,,21,,41.83654448,-87.62646655,Unknown,,,Semi- mature,Fair,,,6785.23
1035,935-2022 U,Oak-Swamp White,Quercus bicolor,,10,,41.83655938,-87.6265146,Unknown,,,Semi- mature,Good,,,2154.04
1036,936-2022 U,Hackberry,Celtis occidentalis,,7,,41.83657482,-87.6264636,Unknown,,,Semi- mature,Good,,,1055.48
1037,937-2022 U,Hackberry,Celtis occidentalis,,3,,41.83665322,-87.6265185,Unknown,,,Young,Good,,,193.86
1038,938-2022 U,Ash-Green,Fraxinus pennsylvanica,,13,,41.83633157,-87.62644255,Unknown,,,Semi- mature,Poor,,,1560.14
1039,939-2022 U,Ash-Green,Fraxinus pennsylvanica,,12,,41.83625715,-87.62642592,Unknown,,,Semi- mature,Good,,,2215.58
1040,940-2022 U,Ash-Green,Fraxinus pennsylvanica,,20,,41.8362058,-87.62643593,Unknown,,,Semi- mature,Fair,,,4396.0
1041,941-2022 U,Ash-Green,Fraxinus pennsylvanica,,6,,41.836124,-87.6264704,Unknown,,,Semi- mature,Poor,,,237.38
1042,942-2022 U,Ash-Green,Fraxinus pennsylvanica,,20,,41.83611618,-87.62644217,Unknown,,,Semi- mature,Fair,,,4396.0
1043,943-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,6,,41.83585325,-87.62644198,Unknown,,,Semi- mature,Fair,,,553.9
1044,944-2022 U,Ash-Green,Fraxinus pennsylvanica,,22,,41.835706877,-87.626401634,Unknown,,,Semi- mature,Fair,,,7446.82
1045,945-2022 U,Ash-Green,Fraxinus pennsylvanica,,18,,41.83560495,-87.62642735,Unknown,,,Semi- mature,Fair,,,4985.06
1046,946-2022 U,Locust-Black,Robinia pseudoacacia,Purple Robe',11,,41.83556175,-87.626449,Unknown,,,Semi- mature,Good,,,2606.39
1047,947-2022 U,Ash-Green,Fraxinus pennsylvanica,,18,,41.8354286,-87.62645268,Unknown,,,Semi- mature,Fair,,,3560.76
1048,948-2022 U,Ash-Green,Fraxinus pennsylvanica,,18,,41.83531963,-87.62643405,Unknown,,,Semi- mature,Fair,,,3560.76
1050,950-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,13,,41.8351067,-87.6264225,Unknown,,,Semi- mature,Good,,,2600.23
1053,-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,14,,41.83490463,-87.62642213,Unknown,,,Semi- mature,Good,,,4221.92
1055,955-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,20,,41.834600738,-87.626087731,Unknown,,,Semi- mature,Fair,,,2637.6
1056,956-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,12,,41.83452232,-87.62640605,Unknown,,,Semi- mature,Fair,,,1582.56
1057,957-2022 U,Hackberry,Celtis occidentalis,,6,,41.834474825,-87.626403124,Unknown,,,Young,Fair,,,553.9
1058,958-2022 U,Oak-Northern Red,Quercus rubra,,8,,41.834427772,-87.626395656,Unknown,,,Semi- mature,Good,,,1378.59
1059,959-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,8,,41.834330992,-87.626436864,Unknown,,,Semi- mature,Good,,,984.7
1060,960-2022 U,Ash-Green,Fraxinus pennsylvanica,,16,,41.83428395,-87.62641172,Unknown,,,Semi- mature,Poor,,,2363.29
1061,961-2022 U,Ash-Green,Fraxinus pennsylvanica,,12,,41.834176659,-87.62639099,Unknown,,,Semi- mature,Poor,,,1329.35
1062,962-2022 U,Honeylocust-Thornless Common,Gleditsia triacanthos var. inermis,,9,,41.83411533,-87.6264154,Unknown,,,Semi- mature,Good,,,1246.27
1063,963-2022 U,Ash-Green,Fraxinus pennsylvanica,,15,,41.834063467,-87.626389975,Unknown,,,Semi- mature,Poor,,,2077.11
1064,964-2022 U,Catalpa-Northern,Catalpa speciosa,,14,,41.83397467,-87.6263939,Unknown,,,Semi- mature,Good,,,4221.92
1065,965-2022 U,Oak-Bur,Quercus macrocarpa,,10,,41.83393673,-87.62639442,Unknown,,,Semi- mature,Fair,,,1978.2
1066,966-2022 U,Catalpa-Northern,Catalpa speciosa,,11,,41.83385488,-87.62638072,Unknown,,,Semi- mature,Good,,,2606.39
1067,967-2022 U,Catalpa-Northern,Catalpa speciosa,,15,,41.83379033,-87.62636788,Unknown,,,Semi- mature,Good,,,3461.85
1068,968-2022 U,Elm-Slippery,Ulmus rubra,,19,,41.8337511,-87.62639872,Unknown,,,Semi- mature,Fair,,,5554.35
1069,969-2022 U,Elm-American,Ulmus americana,,11,,41.83364068,-87.6264243,Unknown,,,Semi- mature,Good,,,1861.71
1070,970-2022 U,Ash-Green,Fraxinus pennsylvanica,,17,,41.83357457,-87.62638243,Unknown,,,Semi- mature,Fair,,,3176.11
